date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2020-06-27,AMD,2020-07-29 00:00:00,2020-07-29 16:52:29,Q2,157000000.0,72000000.0,0.0,60000000,-73000000.0,-104000000,-268000000,268000000,2675000000,87000000.0,243000000.0,-91000000,0,0,55000000,55000000,-36000000.0,0,39000000,39000000.0,0.0,683000000,238000000.0,0.0,445000000.0,1775000000.0,1330000000,243000000.0,-91000000.0,152000000.0,https://www.sec.gov/Archives/edgar/data/2488/000000248820000103/0000002488-20-000103-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000103/amd-20200627.htm
2020-03-28,AMD,2020-04-29 00:00:00,2020-04-29 16:33:04,Q1,162000000.0,68000000.0,0.0,59000000,-389000000.0,168000000,-74000000,-429000000,2405000000,94000000.0,-65000000.0,-55000000,0,-55000000,37000000,37000000,-73000000.0,0,3000000,3000000.0,0.0,1332000000,2000000.0,0.0,-136000000.0,1330000000.0,1466000000,-65000000.0,-55000000.0,-120000000.0,https://www.sec.gov/Archives/edgar/data/2488/000000248820000051/0000002488-20-000051-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248820000051/amdq1fy2010q.htm
2019-12-28,AMD,2020-02-04 00:00:00,2020-02-04 17:21:47,Q4,170000000.0,64000000.0,-4000000.0,57000000,-3000000.0,-465000000,58000000,186000000,2238000000,215000000.0,442000000.0,-42000000,0,0,16000000,16000000,-26000000.0,-142000000,36000000,36000000.0,0.0,345000000,-107000000.0,0.0,309000000.0,1465000000.0,1156000000,442000000.0,-42000000.0,400000000.0,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/0000002488-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/amdform10-kfy2019.htm
2019-09-28,AMD,2019-10-30 00:00:00,2019-10-30 16:17:03,Q3,120000000.0,60000000.0,0.0,54000000,-73000000.0,-60000000,-25000000,8000000,2048000000,127000000.0,234000000.0,-55000000,0,-53000000,165000000,165000000,57000000.0,-97000000,3000000,3000000.0,0.0,192000000,-98000000.0,0.0,193000000.0,1156000000.0,963000000,234000000.0,-55000000.0,179000000.0,https://www.sec.gov/Archives/edgar/data/2488/000000248819000159/0000002488-19-000159-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248819000159/amd0928201910q.htm
2019-06-29,AMD,2019-07-31 00:00:00,2019-07-31 16:27:08,Q2,35000000.0,52000000.0,0.0,45000000,-128000000.0,-93000000,-60000000,-60000000,1950000000,71000000.0,30000000.0,-58000000,0,0,51000000,-1027000000,-7000000.0,0,34000000,34000000.0,0.0,-53000000,-38000000.0,0.0,-15000000.0,963000000.0,978000000,30000000.0,-58000000.0,-28000000.0,https://www.sec.gov/Archives/edgar/data/2488/000000248819000104/0000002488-19-000104-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248819000104/amd0629201910q.htm
2019-03-30,AMD,2019-05-01 00:00:00,2019-05-01 16:36:40,Q1,16000000.0,46000000.0,0.0,41000000,-338000000.0,-5000000,-110000000,-127000000,1913000000,63000000.0,-213000000.0,-62000000,0,-231000000,93000000,1198000000,-173000000.0,-164000000,1000000,450000000.0,0.0,1428000000,286000000.0,0.0,-100000000.0,978000000.0,1078000000,-213000000.0,-62000000.0,-275000000.0,https://www.sec.gov/Archives/edgar/data/2488/000000248819000045/0000002488-19-000045-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248819000045/amd0330201910q.htm
2018-12-29,AMD,2019-02-08 00:00:00,2019-02-08 16:44:26,Q4,38000000.0,43000000.0,0.0,36000000,-76000000.0,-53000000,-107000000,86000000,1556000000,119000000.0,120000000.0,-41000000,0,45000000,10000000,-42000000,-88000000.0,-26000000,26000000,26000000.0,0.0,58000000,0.0,0.0,32000000.0,1078000000.0,1046000000,120000000.0,-41000000.0,79000000.0,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/0000002488-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/amd-12292018x10k.htm
2018-09-29,AMD,2018-10-31 00:00:00,2018-10-31 16:15:18,Q3,102000000.0,41000000.0,0.0,36000000,-121000000.0,-89000000,12000000,12000000,1436000000,54000000.0,76000000.0,-33000000,0,-10000000,35000000,38000000,11000000.0,0,9000000,9000000.0,0.0,106000000,8000000.0,0.0,95000000.0,1043000000.0,948000000,76000000.0,-33000000.0,43000000.0,https://www.sec.gov/Archives/edgar/data/2488/000000248818000189/0000002488-18-000189-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248818000189/amd0929201810q.htm
2018-06-30,AMD,2018-08-02 00:00:00,2018-08-02 16:28:52,Q2,116000000.0,42000000.0,0.0,33000000,-254000000.0,-380000000,-35000000,70000000,1231000000,41000000.0,-55000000.0,-43000000,0,-35000000,0,-2000000,-68000000.0,-1000000,29000000,29000000.0,0.0,-68000000,28000000.0,0.0,-95000000.0,950000000.0,1045000000,-55000000.0,-43000000.0,-98000000.0,https://www.sec.gov/Archives/edgar/data/2488/000000248818000128/0000002488-18-000128-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248818000128/amd0630201810q.htm
2018-03-31,AMD,2018-05-03 00:00:00,2018-05-03 16:45:08,Q1,81000000.0,44000000.0,0.0,32000000,-276000000.0,-284000000,-21000000,39000000,1054000000,44000000.0,-107000000.0,-46000000,0,0,0,1185000000,-25000000.0,-14000000,6000000,6000000.0,0.0,1051000000,-8000000.0,0.0,-140000000.0,1045000000.0,1185000000,-107000000.0,-46000000.0,-153000000.0,https://www.sec.gov/Archives/edgar/data/2488/000000248818000068/0000002488-18-000068-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248818000068/amd0331201810q.htm
2017-12-30,AMD,2018-02-27 00:00:00,2018-02-27 16:18:58,Q4,-19000000.0,39000000.0,-3000000.0,21000000,278000000.0,371000000,55000000,29000000,1136000000,29000000.0,324000000.0,-44000000,0,-1000000,1000000,1000000,17000000.0,-40000000,5000000,5000000.0,0.0,312000000,-34000000.0,0.0,307000000.0,1186000000.0,879000000,324000000.0,-44000000.0,280000000.0,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/0000002488-18-000042-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/amd-12302017x10k.htm
2017-09-30,AMD,2017-11-02 00:00:00,2017-11-02 17:00:49,Q3,61000000.0,36000000.0,3000000.0,29000000,-74000000.0,-157000000,39000000,6000000,1108000000,43000000.0,69000000.0,-34000000,0,0,84000000,85000000,51000000.0,-28000000,5000000,5000000.0,0.0,149000000,2000000.0,0.0,122000000.0,882000000.0,760000000,69000000.0,-34000000.0,35000000.0,https://www.sec.gov/Archives/edgar/data/2488/000000248817000227/0000002488-17-000227-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248817000227/amd0930201710q.htm
2017-07-01,AMD,2017-08-03 00:00:00,2017-08-03 16:43:29,Q2,-42000000.0,35000000.0,0.0,24000000,-107000000.0,-120000000,6000000,-59000000,1062000000,32000000.0,-82000000.0,-12000000,0,0,137000000,136000000,124000000.0,-42000000,2000000,2000000.0,0.0,76000000,-4000000.0,0.0,38000000.0,760000000.0,722000000,-82000000.0,-12000000.0,-94000000.0,https://www.sec.gov/Archives/edgar/data/2488/000000248817000156/0000002488-17-000156-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248817000156/amd0701201710q.htm
2017-04-01,AMD,2017-05-08 00:00:00,2017-05-08 16:35:05,Q1,-33000000.0,34000000.0,0.0,23000000,-341000000.0,-183000000,-88000000,53000000,1126000000,41000000.0,-299000000.0,-23000000,0,-221000000,0,-223000000,-246000000.0,0,8000000,8000000.0,0.0,725000000,3000000.0,0.0,-542000000.0,722000000.0,1264000000,-299000000.0,-23000000.0,-322000000.0,https://www.sec.gov/Archives/edgar/data/2488/000000248817000107/0000002488-17-000107-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248817000107/amd0401201710q.htm
2016-12-31,AMD,2017-02-21 00:00:00,2017-02-21 16:52:14,Q4,-51000000.0,34000000.0,0.0,29000000,161000000.0,329000000,21000000,-16000000,1184000000,44000000.0,188000000.0,-21000000,0,0,0,-5000000,-26000000.0,-265000000,-1000000,-674000000.0,0.0,116000000,-156000000.0,0.0,6000000.0,1264000000.0,1258000000,188000000.0,-21000000.0,167000000.0,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/0000002488-17-000043-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/amd-12312016x10k.htm
2016-09-24,AMD,2016-10-26 00:00:00,2016-10-26 17:15:05,Q3,-406000000.0,33000000.0,0.0,23000000,67000000.0,31000000,-28000000,-6000000,1351000000,335000000.0,29000000.0,-9000000,0,0,0,-1000000,-10000000.0,-852000000,666000000,1359000000.0,0.0,769000000,282000000.0,0.0,301000000.0,1258000000.0,957000000,29000000.0,-9000000.0,20000000.0,https://www.sec.gov/Archives/edgar/data/2488/000000248816000263/0000002488-16-000263-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248816000263/amd0924201610q.htm
2016-06-25,AMD,2016-07-26,2016-07-25 18:22:04,Q2,69000000.0,33000000.0,11000000.0,18000000,-67000000.0,-164000000,-69000000,162000000,925000000,-131000000.0,-85000000.0,-21000000,0,0,0,350000000,329000000.0,4000000,2000000,2000000.0,0.0,232000000,-3000000.0,0.0,241000000.0,957000000.0,716000000,-85000000.0,-21000000.0,-106000000.0,https://www.sec.gov/Archives/edgar/data/2488/000000248816000213/amd0625201610q.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000213/amd0625201610q.htm
2016-03-26,AMD,2016-04-28 00:00:00,2016-04-28 16:23:25,Q1,-109000000.0,33000000.0,0.0,16000000,19000000.0,26000000,3000000,-12000000,898000000,15000000.0,-42000000.0,-26000000,0,0,0,0,-26000000.0,0,0,0.0,0.0,715000000,-1000000.0,0.0,-69000000.0,716000000.0,785000000,-42000000.0,-26000000.0,-68000000.0,https://www.sec.gov/Archives/edgar/data/2488/000000248816000124/0000002488-16-000124-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248816000124/amd0326201610q.htm
2015-12-26,AMD,2016-02-18 00:00:00,2016-02-18 16:19:58,Q4,-102000000.0,34000000.0,0.0,16000000,123000000.0,116000000,82000000,18000000,917000000,4000000.0,59000000.0,-32000000,0,0,0,0,-32000000.0,0,4000000,4000000.0,0.0,24000000,3000000.0,0.0,30000000.0,785000000.0,755000000,59000000.0,-32000000.0,27000000.0,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/0000002488-16-000111-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/amd-12262015x10k.htm
2015-09-26,AMD,2015-11-03 00:00:00,2015-11-03 16:35:22,Q3,-197000000.0,42000000.0,0.0,13000000,64000000.0,35000000,24000000,30000000,1017000000,37000000.0,-54000000.0,-25000000,0,0,0,8000000,-17000000.0,0,0,-4000000.0,0.0,-72000000,-3000000.0,0.0,-74000000.0,755000000.0,829000000,-54000000.0,-25000000.0,-79000000.0,https://www.sec.gov/Archives/edgar/data/2488/000000248815000067/0000002488-15-000067-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248815000067/amd0926201510q.htm
2015-06-27,AMD,2015-07-30 00:00:00,2015-07-30 16:55:47,Q2,-181000000.0,45000000.0,0.0,17000000,55000000.0,175000000,-123000000,76000000,1052000000,23000000.0,-58000000.0,-17000000,0,-4000000,232000000,228000000,211000000.0,-43000000,1000000,1000000.0,0.0,193000000,-1000000.0,0.0,152000000.0,829000000.0,677000000,-58000000.0,-17000000.0,-75000000.0,https://www.sec.gov/Archives/edgar/data/2488/000162828015005620/0001628280-15-005620-index.html,https://www.sec.gov/Archives/edgar/data/2488/000162828015005620/amd0627201510q.htm
2015-03-28,AMD,2015-04-29 00:00:00,2015-04-29 16:55:05,Q1,-180000000.0,46000000.0,0.0,17000000,-129000000.0,-46000000,6000000,-97000000,1205000000,90000000.0,-173000000.0,-22000000,0,-223000000,230000000,7000000,-15000000.0,-1000000,0,4000000.0,0.0,738000000,60000000.0,0.0,-128000000.0,677000000.0,805000000,-173000000.0,-22000000.0,-195000000.0,https://www.sec.gov/Archives/edgar/data/2488/000119312515156842/0001193125-15-156842-index.html,https://www.sec.gov/Archives/edgar/data/2488/000119312515156842/d914071d10q.htm
2014-12-27,AMD,2015-02-19,2015-02-19 17:08:48,Q4,-364000000.0,48000000.0,0.0,16000000,170000000.0,-137000000,185000000,-99000000,1296000000,262000000.0,116000000.0,-22000000,0,-144000000,209000000,65000000,43000000.0,-72000000,0,3000000.0,0.0,243000000,6000000.0,0.0,165000000.0,805000000.0,640000000,116000000.0,-22000000.0,94000000.0,https://www.sec.gov/Archives/edgar/data/2488/000119312515054362/d871455d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000119312515054362/d871455d10k.htm
2014-09-27,AMD,2014-10-30 00:00:00,2014-10-30 16:23:21,Q3,17000000.0,49000000.0,0.0,21000000,-66000000.0,104000000,-62000000,22000000,1454000000,19000000.0,18000000.0,-29000000,0,-28000000,176000000,148000000,119000000.0,-1000000,2000000,5000000.0,0.0,136000000,0.0,0.0,137000000.0,640000000.0,503000000,18000000.0,-29000000.0,-11000000.0,https://www.sec.gov/Archives/edgar/data/2488/000119312514389701/0001193125-14-389701-index.html,https://www.sec.gov/Archives/edgar/data/2488/000119312514389701/d809825d10q.htm
2014-06-28,AMD,2014-07-31 00:00:00,2014-07-31 16:40:31,Q2,-36000000.0,53000000.0,1000000.0,21000000,-118000000.0,32000000,90000000,82000000,1427000000,72000000.0,-28000000.0,-23000000,0,-308000000,288000000,-20000000,-43000000.0,-473000000,1000000,3000000.0,0.0,441000000,20000000.0,0.0,-51000000.0,503000000.0,554000000,-28000000.0,-23000000.0,-51000000.0,https://www.sec.gov/Archives/edgar/data/2488/000119312514289796/0001193125-14-289796-index.html,https://www.sec.gov/Archives/edgar/data/2488/000119312514289796/d763314d10q.htm
